Date,Dividends
2007-12-21,0.75
2008-09-25,0.635
2003-12-26,0.47
2004-06-25,0.35
2012-09-21,0.651
2017-03-21,0.961
2000-06-23,0.31
2004-03-26,0.36
2004-09-24,0.41
2016-09-12,0.852
2000-09-22,0.32
2009-03-26,0.528
2013-03-21,0.635
2017-06-22,0.96
2009-06-23,0.435
2009-09-28,0.482
2017-09-19,1.129
2011-12-22,0.651
2013-06-21,0.697
2015-12-18,1.042
2004-12-23,0.83
2007-06-22,0.57
2011-09-22,0.554
2015-09-18,0.911
2005-03-23,0.43
2000-12-22,0.37
2003-06-20,0.3
2007-09-21,0.62
2003-09-26,0.36
2016-12-21,1.254
2000-03-24,0.3
2008-03-27,0.6
2012-03-23,0.536
2016-03-18,0.962
2008-06-26,0.57
2008-12-26,0.7
2012-06-22,0.607
2012-12-21,0.905
2016-06-20,0.908
2006-06-23,0.48
2010-09-23,0.529
2001-12-28,0.385
2014-09-19,0.826
2002-06-21,0.3
2006-09-22,0.52
2002-09-27,0.35
2009-12-28,0.659
2013-12-23,0.869
2011-03-24,0.505
2015-03-20,0.934
2017-12-22,1.126
2001-03-16,0.29
2005-12-28,0.6
2007-03-23,0.55
2011-06-23,0.536
2015-06-19,0.86
2002-12-27,0.42
2005-06-24,0.42
2013-09-20,0.747
2010-03-29,0.437
2001-06-22,0.28
2018-06-27,1.098
2003-03-28,0.3
2005-09-23,0.53
2018-03-23,1.028
2010-06-28,0.506
2006-03-17,0.49
2018-09-25,1.15
2001-09-21,0.32
2002-03-22,0.29
2014-03-21,0.734
2006-12-26,0.65
2014-12-17,0.981
2010-12-23,0.494
2018-12-14,1.224
2014-06-20,0.762
