Dividends for VTSMX: 02/16/2016-02/15/2019
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/13/2016   0.216   213.904     46.20     51.66    0.894     214.798
09/12/2016   0.250   214.798     53.70     53.84    0.997     215.796
12/19/2016   0.336   215.796     72.51     56.62    1.281     217.076
03/23/2017   0.247   217.076     53.62     58.48    0.917     217.993
06/20/2017   0.266   217.993     57.99     60.76    0.954     218.947
09/21/2017   0.253   218.947     55.39     62.41    0.888     219.835
12/20/2017   0.310   219.835     68.15     66.77    1.021     220.856
03/21/2018   0.259   220.856     57.20     67.82    0.843     221.699
06/21/2018   0.276   221.699     61.19     69.22    0.884     222.583
09/27/2018   0.326   222.583     72.56     72.79    0.997     223.580
12/21/2018   0.332   223.580     74.23     59.75    1.242     224.822

Dividends for VFINX: 02/16/2016-02/15/2019
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/18/2016   0.962    57.042     54.87    188.97    0.290      57.332
06/20/2016   0.908    57.332     52.06    192.15    0.271      57.603
09/12/2016   0.852    57.603     49.08    199.17    0.246      57.850
12/21/2016   1.254    57.850     72.54    208.90    0.347      58.197
03/21/2017   0.961    58.197     55.93    216.27    0.259      58.455
06/22/2017   0.960    58.455     56.12    224.71    0.250      58.705
09/19/2017   1.129    58.705     66.28    231.32    0.287      58.992
12/22/2017   1.126    58.992     66.42    247.63    0.268      59.260
03/23/2018   1.028    59.260     60.92    238.91    0.255      59.515
06/27/2018   1.098    59.515     65.35    249.21    0.262      59.777
09/25/2018   1.150    59.777     68.74    269.18    0.255      60.032
12/14/2018   1.224    60.032     73.48    239.88    0.306      60.339

Dividends for VTSMX: 02/26/2007-12/18/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/22/2007   0.130   284.091     36.93     36.35    1.016     285.107
09/21/2007   0.150   285.107     42.77     36.72    1.165     286.272
12/19/2007   0.182   286.272     52.10     34.93    1.492     287.763
03/24/2008   0.145   287.763     41.73     32.44    1.286     289.049
06/23/2008   0.146   289.049     42.20     32.20    1.311     290.360
09/23/2008   0.138   290.360     40.07     29.09    1.377     291.737
12/19/2008   0.157   291.737     45.80     21.37    2.143     293.881
03/24/2009   0.131   293.881     38.50     19.48    1.976     295.857
06/23/2009   0.104   295.857     30.77     21.83    1.409     297.267
09/23/2009   0.113   297.267     33.59     26.20    1.282     298.549
12/21/2009   0.167   298.549     49.86     27.37    1.822     300.370
03/24/2010   0.107   300.370     32.14     28.97    1.109     301.480
06/23/2010   0.124   301.480     37.38     27.11    1.379     302.859
09/23/2010   0.137   302.859     41.49     27.89    1.488     304.346
12/21/2010   0.162   304.346     49.30     31.50    1.565     305.912
03/24/2011   0.128   305.912     39.16     32.90    1.190     307.102
06/23/2011   0.128   307.102     39.31     32.34    1.215     308.317
09/22/2011   0.139   308.317     42.86     28.06    1.527     309.845
12/20/2011   0.167   309.845     51.74     30.89    1.675     311.520
03/23/2012   0.140   311.520     43.61     34.93    1.249     312.768
06/22/2012   0.158   312.768     49.42     33.17    1.490     314.258
09/21/2012   0.167   314.258     52.48     36.34    1.444     315.702

Dividends for VFINX: 02/26/2007-12/18/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/22/2007   0.570    74.727     42.59    138.32    0.308      75.035
09/21/2007   0.620    75.035     46.52    140.49    0.331      75.366
12/21/2007   0.750    75.366     56.52    136.59    0.414      75.780
03/27/2008   0.600    75.780     45.47    122.02    0.373      76.153
06/26/2008   0.570    76.153     43.41    118.12    0.367      76.520
09/25/2008   0.635    76.520     48.59    111.27    0.437      76.957
12/26/2008   0.700    76.957     53.87     80.23    0.671      77.628
03/26/2009   0.528    77.628     40.99     76.64    0.535      78.163
06/23/2009   0.435    78.163     34.00     82.46    0.412      78.576
09/28/2009   0.482    78.576     37.87     97.98    0.387      78.962
12/28/2009   0.659    78.962     52.04    103.81    0.501      79.463
03/29/2010   0.437    79.463     34.73    108.07    0.321      79.785
06/28/2010   0.506    79.785     40.37     98.93    0.408      80.193
09/23/2010   0.529    80.193     42.42    103.52    0.410      80.603
12/23/2010   0.494    80.603     39.82    115.72    0.344      80.947
03/24/2011   0.505    80.947     40.88    120.59    0.339      81.286
06/23/2011   0.536    81.286     43.57    118.19    0.369      81.654
09/22/2011   0.554    81.654     45.24    103.97    0.435      82.089
12/22/2011   0.651    82.089     53.44    115.43    0.463      82.552
03/23/2012   0.536    82.552     44.25    128.69    0.344      82.896
06/22/2012   0.607    82.896     50.32    122.99    0.409      83.305
09/21/2012   0.651    83.305     54.23    134.57    0.403      83.708

Dividends for VTSMX: 09/15/2001-08/04/2008
